Question,Answer,Category
What is the estimated delivery time for my order?,Delivery typically takes 3-5 business days for standard shipping.,Shipping and Delivery  
Why can’t I log in to my account?,Please ensure your email and password are correct. You can reset your password if needed.,Account Assistance  
Can I pay on delivery?,"Yes, we offer Cash on Delivery (COD) for select locations.",Payment Issues  
Do you have a mobile app?,"Yes, our mobile app is available on iOS and Android. Search for '[App Name]' in your app store.",Miscellaneous  
What is the cost of express shipping?,Express shipping charges depend on your location and order size. You can see the charges at checkout.,Shipping and Delivery  
Do you ship internationally?,"Yes, we offer international shipping to select locations. Additional charges and customs fees may apply.",Shipping and Delivery  
How do I add a new delivery address?,Go to your account settings and add a new address under 'Saved Addresses.',Account Assistance  
What should I do if I entered the wrong shipping address?,"Please contact us immediately. If the order hasn’t been shipped, we can update the address.",Order Changes  
Can I reorder items I previously purchased?,"Yes, go to 'Order History' and select 'Reorder' for the desired items.",Account Assistance  
Why isn’t my promo code working?,Ensure the promo code is valid and applicable to your order. Check for minimum spend requirements.,Pricing and Discounts  
Can I track my return?,"Yes, you can track your return using the return tracking number provided.",Returns and Refunds  
What if I lose my receipt?,You can download a copy of your invoice from the 'Order History' section of your account.,Account Assistance  
How do I request a warranty claim?,Please provide proof of purchase and contact our support team for warranty assistance.,Product Information  
Why is my refund taking so long?,Refunds typically take 5-7 business days to process. Please contact us if it takes longer.,Returns and Refunds  
How do I delete my account?,"To delete your account, please contact our customer support team.",Account Assistance  
Do you have a referral program?,"Yes, refer your friends and earn rewards when they make a purchase. Details are on our website.",Miscellaneous  
What is the validity of my gift card?,Gift cards are valid for 12 months from the date of purchase.,Gift Cards and Wishlist  
Can I pre-order an item?,"Yes, pre-orders are available for select items. Payment is required to confirm your order.",Product Information  
How do I change my payment method?,You can change your payment method during checkout before confirming your order.,Payment Issues  
Can I get a tax invoice for my purchase?,"Yes, you can download a tax invoice from the 'Order History' section of your account.",Business or Bulk Orders  
What should I do if I accidentally ordered the wrong item?,You can cancel or modify your order within 24 hours if it hasn’t been processed.,Order Changes  
Do you offer eco-friendly packaging?,"Yes, we provide eco-friendly packaging for select products. Let us know your preference.",Miscellaneous  
Can I pay in installments?,"Yes, we offer installment payment options for orders above a certain amount. Details are available at checkout.",Payment Issues  
Do you have a store locator?,"Yes, use our store locator on the website to find a store near you.",Miscellaneous  
How do I report a fraudulent transaction?,Contact your bank and notify our support team immediately. We’ll assist in investigating.,Security Concerns  
Can I customize my order?,"Yes, customization options are available for select products. Details are provided on the product page.",Product Information  
What is your exchange policy?,Exchanges are allowed within 30 days of delivery for unused items in their original packaging.,Returns and Refunds  
Why haven’t I received my order confirmation email?,Check your spam folder or ensure the provided email address is correct. Contact us if the issue persists.,Order Tracking  
Can I combine two orders into one shipment?,"Unfortunately, we cannot combine orders once placed. Each order is processed separately.",Order Changes  
Do you offer any rewards for regular customers?,"Yes, our loyalty program rewards frequent shoppers with points and exclusive discounts.",Loyalty Programs  
Can I schedule a call with customer support?,"Yes, you can request a call-back through our support page. Please specify your preferred time.",Customer Support  
How do I reset my email address?,Update your email address in the 'Account Settings' section or contact support for assistance.,Account Assistance  
Can I gift an item directly to someone else?,"Yes, enter their address as the shipping address during checkout.",Miscellaneous  
Do you offer student discounts?,"Yes, eligible students can apply for discounts by verifying their student status on our website.",Pricing and Discounts  
Why is my return request rejected?,Returns may be rejected if the item is not in its original condition or the return period has expired.,Returns and Refunds  
How do I unsubscribe from promotional emails?,Click the 'Unsubscribe' link at the bottom of any promotional email.,Account Assistance  
What is the minimum order value for free shipping?,Free shipping is available for orders above $50.,Shipping and Delivery  
Can I delay my shipment?,"Yes, you can request a delayed shipment by contacting our support team.",Shipping and Delivery  
Do you accept trade-ins?,"Yes, we accept trade-ins for select products. Check our trade-in policy for details.",Miscellaneous  
How can I request bulk pricing?,Contact our corporate sales team at bulk@example.com for bulk pricing options.,Business or Bulk Orders  
Can I purchase a gift card online?,"Yes, gift cards are available for purchase on our website.",Gift Cards and Wishlist  
Why was my account suspended?,Accounts may be suspended for violating terms of use. Contact us for clarification.,Account Assistance  
Can I view my order history?,"Yes, log in to your account and navigate to the 'Order History' section.",Account Assistance  
